frame,score,psr,ess,cx,cy,w,h
87,0.98745,13.1042,326.4,313.279,172.427,28.161,88.849
88,0.976095,15.5503,500.0,311.931,172.804,28.487,89.892
89,0.957654,14.7406,290.5,311.12,171.848,29.062,90.605
90,0.965898,13.9007,500.0,310.606,168.89,28.96,88.838
91,0.953968,15.3688,280.0,310.617,165.756,28.838,89.704
92,0.975406,13.5259,500.0,310.462,163.145,28.854,88.279
93,0.981901,14.1848,294.2,311.409,161.678,28.796,86.351
94,0.970519,14.8744,500.0,310.623,161.638,28.754,86.486
95,0.93085,15.7272,267.9,309.948,163.38,29.056,86.62
96,0.957166,14.6096,500.0,309.061,161.731,28.89,87.905
97,0.855987,17.153,274.8,309.355,158.04,28.657,88.953
98,0.878508,17.5966,500.0,310.15,158.298,28.02,87.944
99,0.940983,14.7051,279.8,310.369,157.361,27.48,87.345
100,0.916501,15.2912,500.0,310.639,157.119,26.948,86.706
101,0.935399,15.5807,500.0,312.56,152.459,27.475,85.212
102,0.956075,15.0431,500.0,317.081,150.99,27.416,84.548
103,0.985642,12.7514,301.2,320.602,147.815,27.472,83.943
104,0.902297,17.1694,500.0,322.381,147.195,27.158,85.111
105,0.982233,15.4117,500.0,322.094,143.735,27.62,83.213
106,0.981718,14.9622,271.1,321.33,140.954,27.662,80.949
107,0.982805,15.2106,500.0,320.853,138.122,28.058,80.178
108,0.976356,12.9742,281.9,320.672,137.63,28.195,79.213
109,0.961233,15.5544,500.0,322.16,134.372,27.447,77.788
110,0.868377,17.1586,269.7,322.092,133.19,26.171,76.944
111,0.96301,18.5762,500.0,321.398,130.261,25.709,74.868
112,0.990168,13.2038,271.7,320.37,129.055,25.891,72.7
113,0.983782,14.7604,500.0,319.466,128.769,25.792,71.496
114,0.987477,15.3211,500.0,318.57,130.049,25.788,70.313
115,0.934852,17.3178,500.0,318.801,129.301,24.524,69.873
116,0.95143,17.9299,500.0,319.751,130.203,23.528,69.785
117,0.969206,16.121,254.2,320.409,130.518,23.085,69.375
118,0.982398,15.6507,500.0,321.929,130.957,22.746,69.031
119,0.957497,16.5924,500.0,323.803,129.961,22.523,68.435
120,0.96282,16.1052,500.0,324.069,128.177,23.053,66.713
121,0.979253,14.1025,274.7,324.311,127.675,23.376,65.576
122,0.990197,13.023,500.0,324.954,127.338,24.083,65.078
123,0.992006,12.509,263.5,327.402,126.156,24.582,64.087
124,0.983958,13.8107,500.0,328.32,125.495,24.976,63.77
125,0.982726,12.9779,259.0,330.183,124.832,24.648,63.524
126,0.985589,13.9267,500.0,331.974,124.615,25.045,63.073
127,0.984865,13.3881,253.3,333.447,123.107,25.51,62.603
128,0.991589,12.1813,500.0,335.063,123.348,25.383,62.082
129,0.984491,12.3749,500.0,336.068,122.137,25.162,62.044
130,0.992683,12.1138,279.8,337.377,122.498,24.526,61.362
131,0.981086,11.5355,500.0,337.821,121.642,25.367,59.419
132,0.989795,10.3325,271.1,337.942,122.054,26.097,58.744
133,0.98593,11.7218,500.0,340.741,120.942,25.338,58.993
134,0.978349,13.7691,500.0,343.588,120.938,24.482,60.609
135,0.974597,10.7925,252.1,343.979,120.958,24.182,60.879
136,0.99229,10.3054,500.0,342.631,121.43,25.052,59.37
137,0.98411,10.6972,500.0,341.712,120.73,24.901,58.321
138,0.978896,11.001,500.0,341.792,120.217,25.032,58.959
139,0.984219,10.2106,500.0,341.14,121.229,25.474,58.998
140,0.973145,10.4314,252.4,341.368,120.25,25.62,58.967
141,0.980235,11.5563,500.0,342.695,120.17,24.832,59.34
142,0.955634,14.0766,500.0,342.908,119.148,24.803,58.553
143,0.945788,16.7197,500.0,344.801,117.206,24.145,57.931
144,0.892214,16.3137,500.0,345.281,116.654,23.89,56.402
145,0.947449,13.6068,500.0,347.94,116.649,24.343,55.858
146,0.931088,12.8864,500.0,352.438,116.268,24.654,54.653
147,0.953197,13.3166,500.0,355.538,114.836,24.127,53.727
148,0.965373,12.9076,500.0,357.324,115.72,23.588,53.334
149,0.954063,11.747,500.0,360.214,115.994,23.734,51.073
150,0.938832,12.9981,500.0,362.481,115.765,23.49,50.343
151,0.944822,11.0152,500.0,364.791,115.742,22.688,50.947
152,0.96468,12.0354,500.0,366.728,114.136,21.561,49.305
153,0.871019,16.129,500.0,368.825,114.918,21.233,49.51
154,0.699928,22.0555,500.0,370.224,113.365,20.579,49.551
155,0.878462,15.3943,500.0,370.195,113.634,20.148,49.029
156,0.958147,12.6342,500.0,370.677,114.185,20.17,46.453
157,0.969433,11.4529,500.0,371.087,114.914,20.079,45.327
158,0.953901,11.6733,500.0,371.705,114.567,19.782,44.324
159,0.98575,9.5663,500.0,370.672,113.318,19.864,41.841
160,0.975227,10.93,500.0,370.01,112.498,19.908,40.357
161,0.970759,10.6641,500.0,368.935,112.186,19.849,38.931
162,0.93786,11.2963,500.0,368.845,112.234,19.732,38.379
163,0.977233,9.7,500.0,367.059,111.381,19.628,37.363
164,0.952683,11.4328,500.0,365.803,110.875,19.586,36.603
165,0.919849,11.7141,500.0,365.338,110.805,19.189,35.407
166,0.933558,11.6803,500.0,364.988,110.31,18.756,34.728
167,0.932064,11.3375,500.0,365.27,109.857,18.734,33.799
168,0.936017,11.7729,500.0,363.957,109.781,18.651,33.19
169,0.951242,10.7309,500.0,363.505,109.326,19.09,32.892
170,0.94034,10.5682,500.0,362.963,109.709,18.98,31.869
171,0.95702,10.4904,500.0,364.349,107.754,19.373,31.392
172,0.96038,11.4436,500.0,365.238,107.71,18.857,31.748
173,0.965619,9.6434,500.0,364.847,108.222,18.753,30.448
174,0.979985,9.2242,500.0,364.348,108.486,18.417,29.343
175,0.938335,9.8002,500.0,364.405,108.814,18.564,29.108
176,0.958251,9.1931,500.0,364.785,108.514,18.86,29.229
177,0.975051,9.6409,500.0,365.32,108.371,19.625,27.953
178,0.94572,10.0024,500.0,366.002,108.892,19.791,28.692
179,0.972087,9.4982,500.0,367.049,107.204,19.997,28.88
180,0.940122,10.9838,500.0,367.664,106.379,19.681,29.326
181,0.977681,8.7479,500.0,369.145,106.182,19.44,29.691
182,0.966562,9.4151,500.0,369.567,106.606,18.335,30.331
183,0.973906,9.4278,500.0,368.757,107.502,17.666,30.687
184,0.974674,9.9803,500.0,368.824,107.203,17.363,30.457
185,0.98143,8.5155,500.0,368.746,107.417,17.374,30.588
186,0.982967,8.9363,500.0,369.87,108.012,17.726,31.305
187,0.988608,8.3542,500.0,371.719,107.3,17.925,31.479
188,0.988908,8.7039,500.0,373.6,107.731,17.997,31.35
189,0.985388,8.7741,500.0,373.792,108.053,17.923,31.022
190,0.982407,9.0951,500.0,373.61,107.389,17.56,30.496
191,0.970434,8.8633,500.0,374.332,106.38,17.609,29.838
192,0.976545,9.0951,500.0,374.744,106.631,17.719,29.398
193,0.973442,8.6344,500.0,375.924,106.384,17.77,29.475
194,0.987361,8.3,500.0,377.122,106.193,17.632,29.988
195,0.977354,8.7974,500.0,376.968,105.683,17.145,29.977
196,0.989872,7.4526,500.0,376.489,105.512,16.949,29.263
197,0.994459,7.1159,500.0,377.656,105.264,17.057,29.276
198,0.973965,8.2658,500.0,379.188,104.226,16.925,29.056
199,0.94262,8.6946,500.0,378.967,103.595,17.108,28.849
200,0.956502,9.0353,500.0,379.193,103.078,16.887,28.811
201,0.964198,8.2535,500.0,379.607,102.79,16.918,28.313
202,0.974122,7.7242,500.0,380.436,103.14,17.014,27.557
203,0.955434,7.8135,500.0,381.199,103.476,17.083,27.575
204,0.968419,8.6123,500.0,382.262,104.342,16.81,27.912
205,0.921651,9.3028,500.0,382.76,102.802,18.828,26.192
206,0.957561,8.4248,500.0,383.694,103.126,18.399,26.322
207,0.961459,8.7171,500.0,384.539,102.705,18.449,26.644
208,0.959168,9.141,500.0,385.194,103.041,18.039,27.033
209,0.960293,8.3584,500.0,384.58,102.487,17.438,26.327
210,0.890245,9.2653,500.0,383.768,103.193,17.085,26.627
211,0.900664,8.485,500.0,384.016,102.142,17.037,25.935
212,0.951225,7.8546,500.0,385.122,101.916,16.77,25.645
213,0.920073,8.9187,500.0,386.031,101.605,18.543,24.162
214,0.955588,8.1578,500.0,385.631,102.315,18.85,23.754
215,0.88907,9.0252,500.0,385.544,102.162,17.626,23.779
216,0.926936,8.2718,500.0,384.808,102.458,16.796,24.334
217,0.936638,8.7658,500.0,386.11,102.448,16.43,24.901
218,0.956539,7.5453,500.0,385.45,102.493,16.322,25.103
219,0.969989,7.1491,500.0,385.149,102.674,15.933,24.571
220,0.968947,7.1421,500.0,384.756,101.589,15.871,24.36
221,0.948896,8.4165,500.0,384.775,102.588,15.818,24.359
222,0.963742,8.17,500.0,382.995,102.13,15.9,24.256
223,0.983612,8.0178,500.0,379.624,101.777,15.581,23.956
224,0.969197,8.0046,500.0,370.885,102.071,15.21,23.664
225,0.966371,7.2472,500.0,358.735,100.963,15.697,22.817
226,0.962588,7.8311,500.0,343.751,102.403,15.658,22.13
227,0.992243,7.4752,500.0,334.253,102.401,15.463,21.792
228,0.99124,7.5175,500.0,329.057,103.397,15.437,21.319
229,0.985907,8.017,500.0,324.848,104.054,15.393,21.225
230,0.974261,8.4476,500.0,322.22,104.303,15.388,20.921
231,0.975175,9.2856,500.0,322.775,104.798,14.719,21.444
232,0.974,7.4057,500.0,326.536,105.06,15.055,20.943
233,0.975004,7.6675,500.0,332.027,105.086,16.111,20.439
234,0.932783,8.0336,500.0,338.853,105.868,17.229,20.06
