frame,score,psr,ess,cx,cy,w,h
0,1.0,0.0,0,367.0,189.0,38.0,84.0
1,0.9970051646232605,10.63132381439209,424.19873046875,366.07708740234375,189.8639678955078,34.4531881613705,79.56287803210955
2,0.9953191876411438,10.906777381896973,499.9999084472656,361.83038330078125,190.48214721679688,31.442847141414365,75.55302668926751
3,0.9967716336250305,10.15202522277832,257.4422912597656,357.7083740234375,191.23858642578125,29.089333249885662,73.43981716413364
4,0.9934931397438049,10.858957290649414,499.9999084472656,353.21832275390625,191.91293334960938,27.438006089367278,71.46227436369993
5,0.9977201819419861,10.825225830078125,289.5633850097656,348.719482421875,193.0820770263672,25.877317899902067,68.85113653526612
6,0.9857096672058105,12.94211483001709,499.9999084472656,348.1052551269531,193.27853393554688,24.42698715245853,68.82185392288221
7,0.9966827034950256,9.76059341430664,313.1642761230469,347.6507568359375,192.91700744628906,23.858149902035343,67.66497876633784
8,0.9984135627746582,9.699920654296875,499.9999084472656,348.253173828125,193.13002014160156,23.944149711521234,68.80171850984016
9,0.9965954422950745,9.448339462280273,300.6324768066406,346.86712646484375,194.14303588867188,23.752441163418105,67.99010985899811
10,0.9877213835716248,10.5272855758667,499.9999084472656,344.7955017089844,193.69638061523438,23.421469586232014,67.21732166676897
11,0.9965028762817383,12.16900634765625,499.9999084472656,344.9729309082031,196.15634155273438,22.828154553214596,66.52948789917946
12,0.9924492835998535,12.429426193237305,255.72216796875,346.20965576171875,196.12371826171875,22.779997948385237,67.19510854220822
13,0.995519757270813,11.809892654418945,499.9999084472656,347.86090087890625,196.10488891601562,22.837437707197214,68.1736073164255
14,0.996507465839386,10.777665138244629,297.93048095703125,349.9686584472656,196.22067260742188,23.089855603570463,68.43994164761644
15,0.9975460171699524,9.783344268798828,499.9999084472656,352.3258056640625,196.9567108154297,22.80304955402739,69.81711702885528
16,0.9756821990013123,13.163793563842773,499.9999084472656,351.80438232421875,194.7810821533203,22.332257940920815,68.98986621988348
17,0.9893804788589478,11.023258209228516,289.3403015136719,351.45184326171875,195.78488159179688,22.348508561570668,69.67325373608894
18,0.9950985312461853,10.53006649017334,499.9999084472656,352.08209228515625,194.18359375,22.61581020295693,70.46340190596587
19,0.9911099672317505,11.758894920349121,266.6104431152344,351.29510498046875,193.96693420410156,23.86136899076842,72.06565806268469
20,0.9783545136451721,10.842875480651855,499.9999084472656,350.997802734375,194.3591766357422,23.843972686343363,71.64132506658466
21,0.9890913367271423,11.379817962646484,267.33453369140625,351.28460693359375,193.7210235595703,24.122855006723622,71.48629379304299
22,0.9844822883605957,11.53316593170166,499.9999084472656,350.6517028808594,194.04632568359375,25.180734604097694,72.68911475749799
23,0.9832226634025574,10.978808403015137,293.9648742675781,349.9000244140625,193.6221923828125,25.67111015477478,72.8308632984588
24,0.9820939898490906,11.089454650878906,499.9999084472656,349.0890197753906,192.88723754882812,25.6887284871897,73.0317130614957
