frame,score,psr,ess,cx,cy,w,h
87,0.959446,14.6936,500.0,311.9,171.105,28.385,86.38
88,0.964433,15.2907,270.0,311.147,169.816,28.157,86.623
89,0.966623,14.7309,500.0,310.435,167.966,28.623,87.41
90,0.966606,14.0268,321.1,310.38,165.412,28.939,87.22
91,0.968319,13.9264,500.0,311.04,163.888,29.059,86.262
92,0.962488,12.6597,298.2,311.042,162.68,28.881,86.0
93,0.961563,12.7304,500.0,311.595,161.873,28.824,84.319
94,0.966485,14.8896,272.5,311.494,160.789,28.655,84.079
95,0.959296,14.8106,500.0,310.339,160.889,28.922,84.739
96,0.960045,14.5142,258.4,309.301,161.794,29.029,85.36
97,0.901552,15.5813,500.0,310.109,157.061,29.013,87.811
98,0.882709,16.667,259.7,310.45,159.218,28.288,87.3
99,0.878481,14.4744,500.0,310.272,159.275,27.79,88.762
100,0.905241,15.9656,280.2,309.498,157.586,28.099,88.751
101,0.935573,15.1254,500.0,313.51,156.927,28.424,87.172
102,0.942321,15.0697,500.0,317.257,154.716,28.435,85.355
103,0.957859,14.5637,500.0,321.121,149.243,28.089,83.399
104,0.913103,15.6931,500.0,323.425,145.099,27.111,82.492
105,0.974627,16.6689,500.0,322.682,140.439,27.156,80.434
106,0.977371,13.6838,279.5,321.278,139.178,27.512,77.652
107,0.983678,14.8563,500.0,321.415,137.23,27.739,76.866
108,0.977538,13.671,272.6,320.85,136.024,27.815,75.947
109,0.967511,16.1741,500.0,321.703,132.789,26.967,74.805
110,0.843976,18.7133,500.0,321.961,132.471,25.843,73.579
111,0.938462,17.6136,269.1,321.723,130.972,24.985,70.924
112,0.990384,12.7478,500.0,320.487,130.185,25.637,69.86
113,0.982386,14.0003,266.3,319.679,129.498,25.7,69.325
114,0.980715,15.2353,500.0,318.778,130.77,25.716,69.66
115,0.961698,16.6876,500.0,318.746,129.686,24.464,68.838
116,0.956449,18.0016,500.0,319.705,130.053,23.429,68.614
117,0.958657,15.1217,269.8,320.105,129.869,22.959,68.75
118,0.976388,15.8899,500.0,321.598,130.237,22.925,68.534
119,0.970927,16.7496,500.0,323.611,129.103,22.872,67.754
120,0.965676,17.2624,500.0,323.99,127.372,23.268,66.809
121,0.979117,13.7014,279.3,324.726,127.118,23.864,65.965
122,0.979699,14.9837,500.0,325.037,127.03,24.4,65.62
123,0.987955,12.8978,264.6,326.235,126.621,24.794,64.662
124,0.97211,15.0622,500.0,329.288,124.784,25.117,64.084
125,0.957846,14.5935,500.0,330.459,123.747,24.904,63.667
126,0.98442,13.6096,267.4,331.679,123.721,25.41,62.423
127,0.988277,13.1785,500.0,333.298,123.248,25.802,61.717
128,0.990548,12.0757,302.5,334.337,122.935,25.417,61.36
129,0.989312,12.9053,500.0,336.3,122.953,25.033,61.471
130,0.986421,12.2661,263.6,337.069,121.75,24.597,61.01
