fi,score_ax,score_cpu,d_score,cx_ax,cx_cpu,d_cx,cy_ax,cy_cpu,d_cy,dist,psr_ax,psr_cpu,score_max_ax,score_max_cpu
10,0.47859570384025574,0.9846156239509583,-0.5060199201107025,368.1768798828125,345.2867126464844,22.890167236328125,182.39002990722656,194.4258575439453,-12.03582763671875,25.861571936134748,3.1294497014927267,11.074614517801576,0.546207070350647,0.995954155921936
11,0.47916218638420105,0.9964454770088196,-0.5172832906246185,366.6651306152344,345.1545104980469,21.5106201171875,181.73394775390625,194.21401977539062,-12.480072021484375,24.868835426842743,2.999662551871199,11.37001481928037,0.525154709815979,0.9972009658813477
12,0.47976958751678467,0.9949446320533752,-0.5151750445365906,367.2394104003906,345.7253112792969,21.51409912109375,180.65469360351562,196.12271118164062,-15.468017578125,26.497472120740703,3.0305936863319047,12.295633715591638,0.5423415899276733,0.9949446320533752
13,0.48444482684135437,0.9938726425170898,-0.5094278156757355,366.50457763671875,347.8307189941406,18.673858642578125,179.9297637939453,195.38258361816406,-15.45281982421875,24.238453686709427,3.0203278770759763,12.13452696144196,0.5329526662826538,0.9964576363563538
14,0.4903930425643921,0.9942905902862549,-0.5038975477218628,364.7654113769531,350.40325927734375,14.362152099609375,179.6716766357422,194.63804626464844,-14.96636962890625,20.742797130603225,2.972358316232187,11.324998156412928,0.5209953188896179,0.9974409341812134
15,0.4893839657306671,0.9950231313705444,-0.5056391656398773,364.03021240234375,351.87628173828125,12.1539306640625,179.8622589111328,194.89988708496094,-15.037628173828125,19.335156882765347,2.980712410069305,11.392201066916419,0.5202304720878601,0.995975911617279
16,0.49383366107940674,0.9980950951576233,-0.5042614340782166,364.0224914550781,352.55377197265625,11.468719482421875,180.3804931640625,195.0262908935547,-14.645797729492188,18.60190629208957,2.9754725114526934,10.616287947740165,0.5222200155258179,0.9980950951576233
17,0.48905256390571594,0.9882506132125854,-0.4991980493068695,364.9990539550781,352.4786682128906,12.5203857421875,181.34068298339844,195.0384521484375,-13.697769165039062,18.557719127949614,2.9863312272734324,11.819854094985693,0.5210414528846741,0.9889083504676819
18,0.4888283908367157,0.9773004055023193,-0.48847201466560364,365.8445129394531,351.8849792480469,13.95953369140625,182.68820190429688,193.9800567626953,-11.291854858398438,17.954792313603704,2.9948004849695065,11.620861863090557,0.5203895568847656,0.9950916767120361
19,0.4853195250034332,0.9842808246612549,-0.49896129965782166,368.6244201660156,351.1246643066406,17.499755859375,183.35186767578125,192.83236694335938,-9.480499267578125,19.90279682608148,2.979013533853644,12.123328181351713,0.5217147469520569,0.9890589118003845
20,0.4817415773868561,0.9722874164581299,-0.4905458390712738,372.9513854980469,350.69659423828125,22.254791259765625,182.80938720703125,192.5969696044922,-9.787582397460938,24.311982708179677,2.959966282210096,11.663787429570506,0.5277328491210938,0.9857307076454163
21,0.47892212867736816,0.9712206721305847,-0.49229854345321655,371.66180419921875,350.2077331542969,21.454071044921875,183.2024383544922,190.5381317138672,-7.335693359375,22.67354320487501,2.9349058473159126,12.35161289078884,0.5056170225143433,0.9847315549850464
22,0.4772857427597046,0.9960856437683105,-0.518799901008606,373.2000732421875,350.3526916503906,22.847381591796875,182.7344207763672,190.93406677246094,-8.19964599609375,24.274205240593048,2.87457760613944,11.596897173713304,0.5039464831352234,0.9960856437683105
23,0.4760540723800659,0.9761571884155273,-0.5001031160354614,370.9590759277344,349.5472717285156,21.41180419921875,183.43775939941406,190.9295196533203,-7.49176025390625,22.684616610551107,2.9883868627383188,13.324638171959144,0.501061737537384,0.9803654551506042
24,0.47576287388801575,0.9951879978179932,-0.5194251239299774,371.7320861816406,348.4315490722656,23.300537109375,184.5369873046875,191.03164672851562,-6.494659423828125,24.18875008380716,2.922673230904506,12.580714988860603,0.5022376775741577,0.9951879978179932
25,0.46544238924980164,0.9977526068687439,-0.5323102176189423,372.9298095703125,345.3942565917969,27.535552978515625,184.8414764404297,190.68081665039062,-5.8393402099609375,28.147905284768658,2.971630147977792,10.651206117493812,0.49746444821357727,0.9983596205711365
26,0.4569106996059418,0.995769739151001,-0.5388590395450592,376.6341552734375,342.3037109375,34.3304443359375,185.5608673095703,189.15554809570312,-3.5946807861328125,34.51812767600664,2.873111768541143,11.782798068797653,0.4945880174636841,0.9979491829872131
27,0.40839141607284546,0.998136043548584,-0.5897446274757385,375.7352600097656,339.3798522949219,36.35540771484375,187.7821807861328,189.95687866210938,-2.1746978759765625,36.420392377956304,2.8051108989486284,10.944504049018779,0.4815448522567749,0.998136043548584
28,0.4503621459007263,0.9950544834136963,-0.54469233751297,374.1449890136719,336.46087646484375,37.684112548828125,188.26100158691406,190.11746215820312,-1.8564605712890625,37.7298129394448,2.7230270302351127,12.157682707152203,0.4750176668167114,0.9966146349906921
29,0.45082685351371765,0.9924889802932739,-0.5416621267795563,375.30157470703125,334.9874572753906,40.314117431640625,190.79421997070312,188.8313446044922,1.9628753662109375,40.361874882063994,2.6930557746783976,12.097030182817182,0.4733092486858368,0.9962435960769653
30,0.4465172588825226,0.996547281742096,-0.5500300228595734,369.5587463378906,333.07550048828125,36.483245849609375,191.4978790283203,189.22857666015625,2.2693023681640625,36.5537544030869,2.6932548101540665,11.245123657655569,0.46348652243614197,0.9976288676261902
31,0.46186256408691406,0.9714985489845276,-0.5096359848976135,367.140869140625,332.6324768066406,34.508392333984375,189.7232208251953,187.97528076171875,1.7479400634765625,34.552632836611714,2.944554250723013,13.512647060029943,0.4869663715362549,0.9915600419044495
32,0.47166019678115845,0.9781785607337952,-0.5065183639526367,363.74432373046875,331.9232482910156,31.821075439453125,182.3268585205078,186.96286010742188,-4.6360015869140625,32.15701094376212,2.9992335492896904,14.229290463364004,0.49843886494636536,0.9862318634986877
33,0.472304105758667,0.9852885603904724,-0.5129844546318054,360.96661376953125,330.6263732910156,30.340240478515625,178.7867431640625,188.6244659423828,-9.837722778320312,31.895312849339483,2.944204553474843,13.148427846638166,0.49143433570861816,0.9876685738563538
34,0.4563438296318054,0.9935425519943237,-0.5371987223625183,360.9300842285156,329.22796630859375,31.702117919921875,176.23414611816406,186.599609375,-10.365463256835938,33.35366710179628,2.9534545124099325,12.400022734271563,0.48869770765304565,0.9965988993644714
35,0.45578092336654663,0.9862990975379944,-0.5305181741714478,361.32501220703125,327.7558898925781,33.569122314453125,176.11001586914062,187.263427734375,-11.153411865234375,35.373500946305356,2.9108887228275253,11.844168546899322,0.48900875449180603,0.9966268539428711
36,0.4689396023750305,0.9861530065536499,-0.5172134041786194,362.4691162109375,326.8778381347656,35.591278076171875,175.25607299804688,186.42893981933594,-11.172866821289062,37.303780345987114,2.8829339344031313,12.141544577348174,0.48742178082466125,0.9932013154029846
37,0.45657193660736084,0.9911664128303528,-0.5345944762229919,363.9781799316406,326.3182678222656,37.659912109375,175.0281524658203,188.48619079589844,-13.458038330078125,39.99234646503881,2.822214925471237,12.282999568642966,0.48298200964927673,0.9923549890518188
38,0.47937625646591187,0.9946129322052002,-0.5152366757392883,365.01873779296875,327.0851745605469,37.933563232421875,174.1607666015625,187.06613159179688,-12.905364990234375,40.06873675372504,2.8522658645974523,11.676875120731507,0.49421095848083496,0.997055172920227
39,0.49010348320007324,0.9925298094749451,-0.5024263262748718,366.86968994140625,329.65472412109375,37.2149658203125,169.6767578125,186.99395751953125,-17.31719970703125,41.04679143002813,2.9168175209228306,12.082828532116926,0.5146335959434509,0.9941311478614807
40,0.43256276845932007,0.9743090271949768,-0.5417462587356567,370.5882873535156,333.91571044921875,36.672576904296875,157.82774353027344,185.78414916992188,-27.956405639648438,46.11332251193938,2.8898123982141386,13.950872434940743,0.5046631097793579,0.9819324016571045
41,0.43307265639305115,0.9857041239738464,-0.5526314675807953,368.7890930175781,335.2566223144531,33.532470703125,152.24826049804688,188.47752380371094,-36.22926330566406,49.36583951607704,2.8477379036338304,12.783737084484557,0.484629362821579,0.9857041239738464
42,0.4355531334877014,0.9807112812995911,-0.5451581478118896,371.9062805175781,336.2229919433594,35.68328857421875,150.5494842529297,188.82994079589844,-38.28045654296875,52.33249885691576,2.8206619807811135,13.825711236609528,0.4915165305137634,0.9807112812995911
43,0.42333921790122986,0.9778753519058228,-0.5545361340045929,368.6382751464844,336.0164489746094,32.621826171875,148.82281494140625,189.44410705566406,-40.62129211425781,52.098684396248366,2.813815632427308,12.149993333184206,0.47139972448349,0.9892422556877136
44,0.43636730313301086,0.9918469190597534,-0.5554796159267426,368.64483642578125,333.87786865234375,34.7669677734375,145.3450469970703,187.9105682373047,-42.565521240234375,54.959672912164294,2.7981614171807627,11.177063675418651,0.4822945296764374,0.9957370758056641
