frame,score,psr,ess,cx,cy,w,h
0,1.0,0.0,0,367.0,189.0,38.0,84.0
1,0.9970051646232605,10.63132381439209,500.0,361.72118138819815,190.2742699004446,34.4531881613705,79.56287803210955
2,0.9947473406791687,11.64866828918457,500.0,357.81597402058725,190.87040792704323,31.746420004020656,76.79557343605958
3,0.9988683462142944,10.164454460144043,500.0,352.49058788366085,188.53944981285662,29.510519030046567,75.77456331744665
4,0.9879693984985352,10.543313026428223,500.0,350.0091775930809,187.03654777846458,27.870725564893856,73.58242437946899
5,0.9970561265945435,11.122193336486816,500.0,346.3196447740597,188.57581229428195,26.559953228007046,73.09234547531804
6,0.997793436050415,10.463874816894531,500.0,347.3613269024648,189.0892330974906,25.42711322339666,71.45744949569175
7,0.9976571798324585,10.310667037963867,500.0,348.6065303554098,188.3813664801816,24.723693206230724,69.12869395538999
8,0.9933403134346008,10.077285766601562,500.0,348.3356139250247,189.29125585469262,23.92185869556303,69.10554431116684
9,0.9928673505783081,10.485146522521973,500.0,347.61243576931884,188.9795644062839,23.945400357018045,68.17487858380628
10,0.9972859621047974,10.612129211425781,500.0,344.30428763247136,189.63330013954305,23.63134369189494,68.55487217629674
11,0.9967327117919922,11.484753608703613,500.0,345.95386867206685,188.4468829561897,23.074346472786246,70.14002465855
12,0.9964780211448669,11.214455604553223,500.0,347.0592022557331,189.55244089413327,22.621067012162918,69.58411661071793
13,0.9957347512245178,11.640503883361816,500.0,347.8817382389124,189.59072998206426,22.536764370087067,68.66287599798832
14,0.9979467988014221,10.587584495544434,500.0,349.4941119670406,188.86563612108102,22.22158371832441,68.788620669289
15,0.9917389154434204,12.201951026916504,500.0,352.0865082282781,189.1549468165978,22.42277128334161,70.32328228085247
16,0.9835875630378723,13.509658813476562,500.0,352.3205118519373,187.1112346124999,21.859674496686317,69.99671271507779
17,0.9875695109367371,11.124930381774902,500.0,351.8971949958506,191.39398987985007,22.11317046698054,71.06285587703933
18,0.9856986403465271,11.312469482421875,500.0,350.9675398203529,188.8177542765307,22.544450251572517,70.64083677339636
19,0.9887083768844604,10.3896484375,500.0,350.7371172344814,187.4922758896061,22.649348307662294,70.58018260440876
20,0.9727392792701721,11.811779975891113,500.0,351.0596192641384,187.71827427513202,22.515552668100177,69.87918387285036
21,0.9835493564605713,11.571955680847168,500.0,350.6472770554826,187.65800016582355,23.07332021416795,70.25190747041262
22,0.9882943630218506,10.678921699523926,500.0,350.07395326396426,187.9551276954855,23.66536692857641,70.93263452992456
23,0.9897583723068237,12.354382514953613,500.0,348.92164756999534,188.19915158005932,24.031146462787483,70.93078974252319
24,0.9867997169494629,11.14382553100586,500.0,347.74973289131333,188.68455521636622,24.466774780152527,70.28782727700825
25,0.9969544410705566,10.776687622070312,500.0,342.4409734069637,184.79024619180873,25.01471390551218,70.49452738571506
26,0.9856079816818237,11.72903060913086,500.0,340.92054381988925,186.29946975900253,24.88888437444917,71.64699834483021
27,0.9919065237045288,10.530938148498535,500.0,339.00130208675677,185.9909915747844,24.695980006106502,71.41402320642194
28,0.9973872303962708,11.346830368041992,500.0,334.6382579201611,183.32423422843044,24.393047313042736,70.95072984805564
